x,y,mic
LMOD1,rs2819348,0.999
CDH13,rs11644424,0.999
PFKFB3,rs11257188,0.999
EBF1,rs1432679,0.999
TGFBR2,rs3773651,0.999
MTX1,rs2075570,0.999
CADPS,rs580384,0.999
TMEM132E,rs11654964,0.999
TCF7L2,rs11196174,0.999
BCL9,rs594206,0.999
CDH13,rs3844412,0.999
TMEM132C,rs11059635,0.999
MTX1,rs2974935,0.999
COL1A1,rs2075555,0.999
SIAH2,rs6788895,0.999
PRC1,rs2290203,0.999
TCF7L2,rs7904519,0.999
EBF1,RBMS3,0.771201776
TGFBR2,EBF1,0.757333555
TGFBR2,RBMS3,0.664217367
FPR3,CD80,0.632171156
hsa.mir.486.2,hsa.mir.486.1,0.927651972
hsa.mir.337,hsa.mir.145,0.798021631
hsa.mir.379,hsa.mir.99a,0.741195024
hsa.mir.337,hsa.mir.493,0.703991785
hsa.mir.379,hsa.mir.10b,0.690593109
hsa.mir.10b,hsa.mir.99a,0.628987351
hsa.mir.21,hsa.mir.374a,0.614649792
Collagen_VI,MSH6,0.774750913
Rab11,ATM,0.639908661
PFKFB3,14.3.3_zeta,0.775427293
PDE4D,Src_pY416,0.672370701
TMEM132E,MSH6,0.664257541
STXBP6,Chk2_pT68,0.645478006
SLC52A3,PI3K.p85,0.618222059
CEP83,P.Cadherin,0.618222059
CEP83,Lck,0.614179831
hsa.mir.141,Lck,0.682234672
hsa.mir.379,Bap1.c.4,0.652309668
hsa.mir.129.2,P.Cadherin,0.627857849
hsa.mir.142,p27,0.621628612
hsa.mir.10b,E.Cadherin,0.619046258
hsa.mir.337,STAT3_pY705,0.617338125
hsa.mir.1247,Bap1.c.4,0.616466719
hsa.mir.190b,Caveolin.1,0.610858138
